path,domain,class,split,group
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,lab,apple_scab,train,lab_apple_scab_18446677987054071808
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,lab,apple_scab,test,lab_apple_scab_18443299860071190278
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,lab,apple_scab,val,lab_apple_scab_18445541424348136964
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,lab,apple_scab,train,lab_apple_scab_15622920593484046336
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,lab,apple_scab,train,lab_apple_scab_18443333267357761792
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,lab,apple_scab,train,lab_apple_scab_17861698888415115512
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,lab,apple_scab,val,lab_apple_scab_18445549458637783808
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,lab,apple_scab,train,lab_apple_scab_18438235086620401696
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,lab,apple_scab,test,lab_apple_scab_17565025580756228288
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,lab,apple_scab,train,lab_apple_scab_18140993605014357895
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,lab,apple_scab,train,lab_apple_scab_18444461244981091984
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,lab,apple_scab,train,lab_apple_scab_18415081579123951587
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,lab,apple_scab,val,lab_apple_scab_18443335188283981824
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,lab,apple_scab,train,lab_apple_scab_18446704326363169089
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,lab,apple_scab,train,lab_apple_scab_16701466737765352387
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,lab,apple_scab,train,lab_apple_scab_18442452134382470927
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,lab,apple_scab,val,lab_apple_scab_18429152939877137649
data/raw/plantvillage/plantvillage dataset/color/Apple___Apple_scab/075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,lab,apple_scab,train,lab_apple_scab_18150495524095463327
